metric,arm,mean,std,ci_lower,ci_upper,valid_resamples,eligible_domain_count,eligible_source_record_count,eligible_records_by_domain,coverage_status,candidate_status,candidate_milestone,remediation_qa_verdict,freeze_evidence
channel_count,extrapolation:1->4,0.003987100454223313,0.0024953922257061824,0.0002532107961579518,0.011209491999416735,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
channel_count,extrapolation:3->4,-0.0003589489510114166,0.0004706960703277681,-0.0013562693976247936,0.0001943181406035624,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
channel_count,interpolation:10->11,1.898399572252337e-05,6.504249900656988e-05,-8.635624265654376e-05,0.00023105873135695234,10000,2,13,"{""energy"": 1, ""environment"": 12}",limited_domain_or_record,candidate,accepted,PASS,insufficient
channel_count,interpolation:12->11,-4.393153787609751e-05,5.091424499238229e-05,-9.971433640343481e-05,3.68600032393376e-08,10000,1,1,"{""energy"": 1}",single_domain_single_record,candidate,accepted,PASS,insufficient
channel_count,interpolation:18->11,-1.9691351331461328e-05,4.1176865966104705e-05,-6.222382028996623e-05,1.9980754602599087e-05,10000,1,1,"{""energy"": 1}",single_domain_single_record,candidate,accepted,PASS,insufficient
channel_count,interpolation:25->26,1.988017666865337e-05,6.667331327060792e-06,1.562463965135328e-05,2.7564122869350144e-05,10000,1,1,"{""energy"": 1}",single_domain_single_record,candidate,accepted,PASS,insufficient
channel_count,interpolation:5->4,-0.00011753639914185667,0.00010703184055051982,-0.00034589410890932336,-9.212268894120107e-06,10000,2,13,"{""energy"": 1, ""environment"": 12}",limited_domain_or_record,candidate,accepted,PASS,insufficient
channel_count,interpolation:7->4,-0.0003279055976292689,0.0003880198470858093,-0.0008364680954715006,-1.8536185375722497e-05,10000,2,13,"{""energy"": 1, ""environment"": 12}",limited_domain_or_record,candidate,accepted,PASS,insufficient
dropout,0%,0.0,0.0,0.0,0.0,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
dropout,10%,-6.03508052224129e-05,0.00012702019047614727,-0.0003158574517519728,0.00010481353342785575,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
dropout,30%,9.106570979009542e-06,0.0005777171244805973,-0.0007799956404849097,0.0006272610432678207,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
dropout,50%,-0.00038069709102793507,0.000900284507469743,-0.0020401573996960995,0.0007734016210546479,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
missing,block:10%,0.0030016036745846553,0.001096262165660547,-0.0018696829504835516,0.009149263291664983,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
missing,block:30%,-0.015590464382043152,0.008265271705381202,-0.03137386148453745,0.01008009455355197,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
missing,block:50%,-0.01304206136612674,0.018736409913924983,-0.04945990061206916,0.08102592503781958,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
missing,mcar:10%,-0.000589275176930394,0.0005235566092152432,-0.0024785596311892393,0.0005118646450131672,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
missing,mcar:30%,-0.004150488384782589,0.004527527470631972,-0.012822785583103418,0.001457747908460944,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
missing,mcar:50%,-0.004383806763504429,0.006793515580111013,-0.016584071796480106,0.0070587162219723325,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
padding,both,2.4523110499903946e-08,4.2375685841187e-09,2.0614639264974353e-08,3.090892010514976e-08,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
padding,channel,7.226886341829244e-09,1.2837052958449107e-09,0.0,2.104050391508553e-08,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
padding,time,2.479086779491564e-08,4.2599235357749214e-09,2.0862920200683364e-08,3.155789723733223e-08,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
permutation,identity,0.0,0.0,0.0,0.0,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
permutation,perm_0,1.9933444506350396e-08,4.7727730797886065e-09,1.4152358282812668e-08,2.5459143372610484e-08,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
permutation,perm_1,1.98048583924627e-08,3.794083854452243e-09,1.4533310377317637e-08,2.477504541863294e-08,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
permutation,perm_2,2.1585568845504916e-08,5.243815221477362e-09,1.691339275042477e-08,2.724413500259688e-08,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
permutation,perm_3,1.9484386580802377e-08,5.254954632746188e-09,1.3498131139085116e-08,2.5500433049064022e-08,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
permutation,perm_4,2.3588698126512954e-08,4.0451372550946045e-09,1.9354280206274055e-08,2.917969165258856e-08,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
permutation,perm_5,1.9568650822874375e-08,5.043010195221048e-09,1.3795622314325721e-08,2.4971089055023357e-08,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
permutation,perm_6,2.0406048935426728e-08,3.1857082571787775e-09,1.6081691650066624e-08,2.4150699380910755e-08,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
permutation,perm_7,2.284771463199143e-08,4.723165782162071e-09,1.8217458080108026e-08,3.134892344869077e-08,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
reconstruction,baseline,0.5215917483286597,0.0028726469707568624,0.5099090351299806,0.5444698295165107,10000,3,14,"{""energy"": 1, ""environment"": 12, ""transport"": 1}",limited_domain_or_record,candidate,accepted,PASS,insufficient
